names,prix
rosa beach,"83.067,60 dzd"
skanes serail & aquapark,"57.138,30 dzd"
tui magic life skanes,"86.532,00 dzd"
royal thalassa monastir,"65.880,80 dzd"
regency hotel & spa,"52.633,35 dzd"
amir palace,"40.101,50 dzd"
iberostar selection kuriat palace,"90.479,05 dzd"
monastir center,"59.231,50 dzd"
delphin resort monastir,"44.579,50 dzd"
el ksar resort & thalasso,"48.324,60 dzd"
marhaba resort (marhaba club),"42.966,00 dzd"
iberostar selection diar el andalous,"84.356,40 dzd"
golf residence,"45.801,50 dzd"
orient palace,"51.559,00 dzd"
palmyra aquapark kantaoui,"35.805,00 dzd"
sousse palace,"84.016,00 dzd"
dreams beach,"42.131,00 dzd"
seabel alhambra beach golf & spa,"82.382,00 dzd"
marhaba beach,"59.804,30 dzd"
marhaba royal salem,"48.336,75 dzd"
marhaba palace,"67.415,25 dzd"
hasdrubal thalassa & spa port el kantaoui,"105.266,40 dzd"
el hana hannibal palace,"27.041,50 dzd"
el mouradi palace,"41.468,60 dzd"
royal jinene,"57.287,80 dzd"
marhaba salem,"60.582,00 dzd"
sentido bellevue park,"63.374,85 dzd"
iberostar selection kantaoui bay,"85.215,60 dzd"
appart hotel boujaafar,"16.619,00 dzd"
le monaco & thalasso,"27.984,00 dzd"
houria palace,"27.788,50 dzd"
diar meriem,"37.510,00 dzd"
de paris,"31.321,50 dzd"
tej marhaba,"41.533,50 dzd"
el mouradi port el kantaoui,"40.477,50 dzd"
